Name,Rank,Location
Princeton University,1,"[40.348732, -74.659365]"
Harvard University,2,"[42.374471, -71.118313]"
Yale University,3,"[41.311158, -72.926688]"
Stanford University,5,"[37.429434, -122.167359]"
Massachusetts Institute of Technology,7,"[42.359243, -71.093226]"
Duke University,8,"[36.001135, -78.937624]"
University of Pennsylvania,8,"[39.950929, -75.19391]"
Johns Hopkins University,10,"[39.328977, -76.621595]"
Dartmouth College,11,"[43.704115, -72.289949]"
California Institute of Technology,12,"[34.137349, -118.125878]"
Northwestern University,12,"[42.050356, -87.679858]"
Brown University,14,"[41.82617, -71.40385]"
Cornell University,15,"[42.4472, -76.483084]"
Rice University,15,"[29.717897, -95.402035]"
University of Notre Dame,15,"[41.703058, -86.238959]"
Vanderbilt University,15,"[36.14659, -86.803369]"
Emory University,20,"[33.790183, -84.325512]"
Georgetown University,20,"[38.908809, -77.073463]"
University of Southern California,23,"[34.021281, -118.284169]"
Carnegie Mellon University,24,"[40.44357, -79.941993]"
Tufts University,27,"[42.40855, -71.118293]"
Wake Forest University,27,"[36.133609, -80.277446]"
Boston College,31,"[42.336213, -71.169242]"
University of Rochester,32,"[43.126397, -77.631202]"
Brandeis University,34,"[42.365727, -71.260155]"
New York University,36,"[40.729452, -73.997264]"
Case Western Reserve University,37,"[41.507419, -81.609596]"
Boston University,39,"[42.351118, -71.107942]"
Northeastern University,39,"[42.339992, -71.088782]"
Rensselaer Polytechnic Institute,39,"[42.729978, -73.676646]"
Lehigh University,44,"[40.606822, -75.380236]"
University of Miami,44,"[25.72126, -80.278662]"
Pepperdine University,50,"[34.037786, -118.707077]"
University of Florida,50,"[29.64629, -82.347911]"
Villanova University,50,"[40.039388, -75.345457]"
George Washington University,56,"[38.89923, -77.048363]"
Southern Methodist University,56,"[32.843612, -96.783365]"
University of Georgia,56,"[33.956262, -83.374039]"
Fordham University,60,"[40.859354, -73.882705]"
Syracuse University,60,"[43.040176, -76.136975]"
University of Connecticut,60,"[41.809098, -72.249948]"
Worcester Polytechnic Institute,60,"[42.274853, -71.808339]"
Clemson University,66,"[34.679381, -82.835114]"
Yeshiva University,66,"[40.850605, -73.929873]"
Baylor University,71,"[31.546872, -97.121041]"
Stevens Institute of Technology,71,"[40.744776, -74.025334]"
American University,74,"[38.936005, -77.088875]"
Clark University,74,"[42.249987, -71.823356]"
University of Delaware,79,"[39.679577, -75.752822]"
Colorado School of Mines,82,"[39.751443, -105.223364]"
Michigan State University,82,"[42.73212, -84.476111]"
Texas Christian University,82,"[32.70961, -97.364758]"
University of Iowa,82,"[41.661935, -91.536425]"
Marquette University,86,"[43.03903, -87.927961]"
University of Denver,86,"[39.678005, -104.963259]"
University of San Diego,86,"[32.770816, -117.192073]"
University of Tulsa,86,"[36.152324, -95.945941]"
Florida State University,92,"[30.440756, -84.291921]"
University of Vermont,92,"[44.477325, -73.196646]"
Drexel University,96,"[39.955217, -75.190051]"
Saint Louis University,96,"[38.636801, -90.2351]"
Auburn University,99,"[32.599378, -85.488258]"
Loyola University Chicago,99,"[42.000765, -87.656872]"
SUNY College of Environmental Science and Forestry,99,"[43.034765, -76.138724]"
Illinois Institute of Technology,103,"[41.8313, -87.627321]"
University of Oregon,103,"[44.045146, -123.075792]"
Rochester Institute of Technology,107,"[43.084188, -77.67386]"
University of San Francisco,107,"[37.776618, -122.450477]"
Iowa State University,111,"[42.026212, -93.648504]"
University of Dayton,111,"[39.739547, -84.176113]"
University of the Pacific,111,"[37.981424, -121.312301]"
University of Utah,111,"[40.762484, -111.846044]"
Michigan Technological University,118,"[47.11866, -88.548092]"
Seton Hall University,118,"[40.742336, -74.246027]"
Temple University,118,"[39.980546, -75.156859]"
University of Kansas,118,"[38.958549, -95.247567]"
The Catholic University of America,124,"[38.933651, -76.997909]"
DePaul University,124,"[41.877618, -87.62724]"
Duquesne University,124,"[40.43589, -79.993123]"
Howard University,124,"[38.922392, -77.018966]"
University of Arizona,124,"[32.232672, -110.950815]"
Clarkson University,129,"[44.662716, -74.999359]"
Hofstra University,133,"[40.715959, -73.60078]"
University of Kentucky,133,"[38.038911, -84.504747]"
Kansas State University,135,"[39.188648, -96.581077]"
Mercer University,135,"[32.831787, -83.648295]"
New Jersey Institute of Technology,135,"[40.741997, -74.177113]"
University of Arkansas,135,"[36.070009, -94.176981]"
University of Mississippi,135,"[34.365529, -89.537434]"
George Mason University,143,"[38.829976, -77.307428]"
Oregon State University,143,"[44.56395, -123.274723]"
Washington State University,143,"[46.730448, -117.158168]"
Adelphi University,146,"[40.721439, -73.653321]"
San Diego State University,146,"[32.77525, -117.071228]"
Illinois State University,152,"[40.509403, -88.990058]"
Immaculata University,152,"[40.027981, -75.570711]"
University of La Verne,152,"[34.100855, -117.773262]"
Seattle Pacific University,159,"[47.650214, -122.361667]"
University of Rhode Island,159,"[41.484691, -71.527356]"
University of South Florida,159,"[28.061458, -82.413232]"
Biola University,164,"[33.906203, -118.014374]"
Virginia Commonwealth University,164,"[37.54962, -77.452697]"
Union University,169,"[35.676896, -88.858524]"
Edgewood College,171,"[43.057059, -89.422884]"
Florida Institute of Technology,171,"[28.065815, -80.622893]"
University of Idaho,171,"[46.727406, -117.014167]"
University of Louisville,171,"[38.216862, -85.760412]"
University of Wyoming,171,"[41.311773, -105.57931]"
Ball State University,176,"[40.203431, -85.409043]"
Lipscomb University,176,"[36.106253, -86.799791]"
Mississippi State University,176,"[33.454852, -88.790139]"
Montclair State University,176,"[40.860414, -74.198141]"
Texas Tech University,176,"[33.583448, -101.874783]"
University of Central Florida,176,"[28.602159, -81.200889]"
Andrews University,183,"[41.963859, -86.355815]"
Azusa Pacific University,183,"[34.130047, -117.888375]"
University of Maine,183,"[44.899257, -68.669332]"
West Virginia University,183,"[39.634371, -79.954391]"
Widener University,183,"[39.861689, -75.355363]"
Pace University,188,"[40.711014, -74.004719]"
Robert Morris University,188,"[40.520415, -80.210468]"
Suffolk University,188,"[42.357945, -71.060917]"
University of Hartford,188,"[41.798591, -72.715213]"
University of Houston,194,"[29.720393, -95.343537]"
Western Michigan University,194,"[42.282194, -85.613759]"
Lesley University,197,"[42.38012, -71.117303]"
Central Michigan University,202,"[43.591203, -84.77525]"
Louisiana Tech University,202,"[32.528297, -92.649963]"
South Dakota State University,202,"[44.317485, -96.782139]"
University of North Dakota,202,"[47.921654, -97.071738]"
University of South Dakota,202,"[42.786019, -96.925283]"
East Carolina University,210,"[35.607186, -77.368291]"
Montana State University,210,"[45.666726, -111.048812]"
Old Dominion University,210,"[36.886418, -76.30666]"
Ashland University,214,"[40.861755, -82.321061]"
Dallas Baptist University,214,"[32.710017, -96.947006]"
Northern Illinois University,214,"[41.933869, -88.766428]"
Nova Southeastern University,214,"[26.079337, -80.24248]"
Benedictine University,220,"[41.777569, -88.097307]"
Gardner-Webb University,220,"[35.24732, -81.668141]"
Shenandoah University,220,"[39.167355, -78.157433]"
Tennessee Technological University,220,"[36.174754, -85.504039]"
University of Southern Mississippi,220,"[31.32661, -89.331236]"
Utah State University,220,"[41.740748, -111.81391]"
