State,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Alabama,"492,565","502,925","507,605","533,095","536,210","533,990","549,360","572,805","571,535","578,165","595,345","604,765","617,415","624,760","651,555"
Alaska,"84,585","89,935","89,525","94,140","92,035","103,295","100,540","105,020","103,730","104,145","109,510","111,935","104,605","108,145","106,425"
Arizona,"698,240","748,110","756,520","783,540","807,020","787,640","805,725","840,385","849,330","863,870","877,350","939,315","971,520","1,014,830","1,054,415"
Arkansas,"265,900","267,735","277,020","277,340","282,850","291,095","306,010","316,445","306,005","326,435","323,105","338,150","350,620","347,335","357,580"
California,"5,181,220","5,303,085","5,447,185","5,566,305","5,662,070","5,718,930","5,830,490","6,020,550","6,088,970","6,323,440","6,512,480","6,719,890","6,972,445","7,115,070","7,324,340"
Colorado,"863,960","868,915","907,210","950,645","967,040","984,155","1,001,865","1,037,115","1,056,375","1,085,660","1,131,550","1,175,955","1,230,640","1,290,890","1,339,255"
Connecticut,"659,605","652,280","668,145","693,135","701,695","707,685","716,900","745,930","746,865","763,040","770,890","773,945","781,410","796,610","793,145"
Delaware,"122,030","121,940","118,070","126,435","136,335","133,790","139,350","142,635","151,350","150,370","155,925","152,840","156,205","156,250","169,885"
District of Columbia,"147,675","165,010","171,930","176,210","174,825","191,925","203,595","213,410","224,760","226,040","242,110","245,065","255,855","270,905","268,705"
Florida,"2,136,170","2,279,970","2,358,215","2,390,140","2,368,960","2,435,020","2,465,640","2,588,765","2,630,705","2,680,730","2,850,265","2,891,340","3,060,945","3,194,970","3,296,270"
Georgia,"1,265,335","1,297,295","1,346,155","1,406,710","1,410,335","1,369,865","1,410,055","1,442,160","1,456,770","1,515,615","1,578,530","1,634,005","1,684,780","1,770,780","1,817,970"
Hawaii,"176,255","196,135","192,695","193,565","197,720","206,765","204,635","215,285","220,475","220,000","220,865","234,755","233,415","238,705","237,495"
Idaho,"160,670","166,640","180,440","179,625","174,000","185,570","190,410","192,190","199,700","192,955","202,825","215,530","216,090","233,510","239,640"
Illinois,"1,976,665","2,020,285","2,068,525","2,139,565","2,178,225","2,198,755","2,218,955","2,262,400","2,305,040","2,332,465","2,339,565","2,412,930","2,419,020","2,506,845","2,539,540"
Indiana,"698,245","741,810","766,095","807,070","799,300","802,820","810,825","824,460","842,130","875,815","895,305","915,990","957,725","979,960","986,035"
Iowa,"394,300","407,105","406,415","419,620","427,560","429,875","442,240","446,450","454,265","470,325","456,665","487,895","498,975","505,035","504,310"
