Name,Rank,Undergrad Enrollment
Princeton University,1,"5,402"
Harvard University,2,"6,699"
University of Chicago,3,"5,844"
Yale University,3,"5,532"
Columbia University,5,"6,102"
Stanford University,5,"6,999"
Massachusetts Institute of Technology,7,"4,527"
Duke University,8,"6,639"
University of Pennsylvania,8,"9,726"
Johns Hopkins University,10,"6,524"
Dartmouth College,11,"4,307"
California Institute of Technology,12,"1,001"
Northwestern University,12,"8,314"
Brown University,14,"6,652"
Cornell University,15,"14,315"
Rice University,15,"3,910"
University of Notre Dame,15,"8,462"
Vanderbilt University,15,"6,883"
Washington University in St. Louis,19,"7,504"
Emory University,20,"6,867"
Georgetown University,20,"7,562"
University of California--Berkeley,20,"27,496"
University of Southern California,23,"18,810"
Carnegie Mellon University,24,"6,454"
University of California--Los Angeles,24,"29,585"
University of Virginia,24,"16,736"
Tufts University,27,"5,290"
University of Michigan--Ann Arbor,27,"28,312"
Wake Forest University,27,"4,871"
University of North Carolina--Chapel Hill,30,"18,415"
Boston College,31,"9,192"
College of William & Mary,32,"6,301"
University of Rochester,32,"6,304"
Brandeis University,34,"3,621"
Georgia Institute of Technology,34,"15,142"
New York University,36,"25,722"
Case Western Reserve University,37,"5,121"
University of California--Santa Barbara,37,"20,607"
Boston University,39,"17,932"
Northeastern University,39,"13,697"
Rensselaer Polytechnic Institute,39,"5,864"
Tulane University,39,"6,662"
University of California--Irvine,39,"25,256"
Lehigh University,44,"5,075"
University of California--Davis,44,"28,384"
University of California--San Diego,44,"26,590"
University of Illinois--Urbana-Champaign,44,"33,368"
University of Miami,44,"11,122"
University of Wisconsin--Madison,44,"31,662"
Pepperdine University,50,"3,533"
University of Florida,50,"35,043"
Villanova University,50,"6,994"
Pennsylvania State University--University Park,50,"40,742"
Ohio State University--Columbus,54,"45,289"
University of Washington,54,"31,063"
George Washington University,56,"11,157"
Southern Methodist University,56,"6,411"
University of Georgia,56,"27,547"
University of Texas--Austin,56,"39,619"
Fordham University,60,"8,855"
Purdue University--West Lafayette,60,"29,497"
Syracuse University,60,"15,196"
University of Connecticut,60,"18,826"
University of Maryland--College Park,60,"27,443"
Worcester Polytechnic Institute,60,"4,299"
Clemson University,66,"18,016"
Yeshiva University,66,"2,744"
Brigham Young University--Provo,68,"30,221"
University of Pittsburgh,68,"18,908"
Rutgers University--New Brunswick,70,"35,484"
Baylor University,71,"14,189"
Stevens Institute of Technology,71,"2,873"
University of Minnesota--Twin Cities,71,"34,071"
American University,74,"7,909"
Clark University,74,"2,397"
Texas A&M University--College Station,74,"48,960"
University of Massachusetts--Amherst,74,"22,748"
Virginia Tech,74,"25,384"
Miami University--Oxford,79,"16,387"
University of California--Santa Cruz,79,"16,231"
University of Delaware,79,"18,322"
Colorado School of Mines,82,"4,608"
Michigan State University,82,"39,143"
Texas Christian University,82,"8,894"
University of Iowa,82,"23,357"
Binghamton University--SUNY,86,"13,491"
Indiana University--Bloomington,86,"38,364"
Marquette University,86,"8,334"
University of Denver,86,"5,758"
University of San Diego,86,"5,647"
University of Tulsa,86,"3,478"
Florida State University,92,"32,706"
North Carolina State University--Raleigh,92,"24,111"
University of Colorado--Boulder,92,"27,010"
University of Vermont,92,"10,973"
Drexel University,96,"14,138"
Saint Louis University,96,"8,248"
Stony Brook University--SUNY,96,"16,831"
Auburn University,99,"21,786"
Loyola University Chicago,99,"11,079"
SUNY College of Environmental Science and Forestry,99,"1,839"
University at Buffalo--SUNY,99,"19,951"
Illinois Institute of Technology,103,"2,991"
University of Alabama,103,"31,958"
University of Oregon,103,"20,538"
University of Tennessee,103,"21,863"
Rochester Institute of Technology,107,"12,607"
University of New Hampshire,107,"13,034"
University of San Francisco,107,"6,782"
University of South Carolina,107,"25,237"
Iowa State University,111,"30,034"
University of Dayton,111,"8,665"
University of Missouri,111,"27,812"
University of Nebraska--Lincoln,111,"20,182"
University of Oklahoma,111,"22,132"
University of the Pacific,111,"3,735"
University of Utah,111,"23,794"
Michigan Technological University,118,"5,721"
Seton Hall University,118,"6,090"
Temple University,118,"28,609"
University of California--Riverside,118,"18,608"
University of Kansas,118,"19,245"
University of St. Thomas,118,"6,240"
The Catholic University of America,124,"3,480"
DePaul University,124,"15,961"
Duquesne University,124,"5,961"
Howard University,124,"6,883"
University of Arizona,124,"33,732"
Arizona State University--Tempe,129,"41,828"
Clarkson University,129,"3,257"
Colorado State University,129,"24,433"
New School,129,"6,792"
Hofstra University,133,"6,824"
University of Kentucky,133,"22,705"
Kansas State University,135,"19,859"
Louisiana State University--Baton Rouge,135,"26,156"
Mercer University,135,"4,667"
New Jersey Institute of Technology,135,"8,008"
Rutgers University--Newark,135,"7,713"
University of Arkansas,135,"22,159"
University of Cincinnati,135,"25,054"
University of Mississippi,135,"18,785"
George Mason University,143,"23,062"
Oregon State University,143,"24,612"
Washington State University,143,"24,470"
Adelphi University,146,"4,852"
Ohio University,146,"23,513"
San Diego State University,146,"29,234"
St. John Fisher College,146,"2,805"
University at Albany--SUNY,146,"12,908"
University of Texas--Dallas,146,"15,575"
Illinois State University,152,"18,426"
Immaculata University,152,"1,790"
Oklahoma State University,152,"21,046"
University of California--Merced,152,"6,237"
University of Illinois--Chicago,152,"17,575"
University of La Verne,152,"2,864"
University of Massachusetts--Lowell,152,"13,266"
Seattle Pacific University,159,"3,202"
University of Alabama--Birmingham,159,"11,511"
University of Maryland--Baltimore County,159,"11,243"
University of Rhode Island,159,"13,641"
University of South Florida,159,"31,111"
Biola University,164,"4,225"
Maryville University of St. Louis,164,"2,795"
Missouri University of Science & Technology,164,"6,841"
St. John's University,164,"16,210"
Virginia Commonwealth University,164,"24,051"
Union University,169,"2,829"
University of Hawaii--Manoa,169,"13,689"
Edgewood College,171,"1,813"
Florida Institute of Technology,171,"3,586"
University of Idaho,171,"9,116"
University of Louisville,171,"15,769"
University of Wyoming,171,"10,045"
Ball State University,176,"16,602"
Lipscomb University,176,"3,030"
Mississippi State University,176,"17,421"
Montclair State University,176,"16,336"
Texas Tech University,176,"29,237"
University of Central Florida,176,"54,513"
University of New Mexico,176,"20,522"
Andrews University,183,"1,733"
Azusa Pacific University,183,"5,883"
University of Maine,183,"9,297"
West Virginia University,183,"22,498"
Widener University,183,"3,554"
Kent State University,188,"23,607"
North Dakota State University,188,"12,037"
Pace University,188,"8,747"
Robert Morris University,188,"4,497"
Suffolk University,188,"5,565"
University of Hartford,188,"5,246"
Bowling Green State University,194,"14,334"
University of Houston,194,"34,716"
Western Michigan University,194,"18,567"
Indiana University-Purdue University--Indianapolis,197,"21,985"
Lesley University,197,"1,520"
University of Alabama--Huntsville,197,"6,013"
University of Colorado--Denver,197,"14,036"
University of Nevada--Reno,197,"17,770"
California State University--Fullerton,202,"33,144"
Central Michigan University,202,"20,498"
Louisiana Tech University,202,"10,682"
South Dakota State University,202,"11,007"
University of Alaska--Fairbanks,202,"7,610"
University of North Carolina--Charlotte,202,"22,732"
University of North Dakota,202,"11,577"
University of South Dakota,202,"7,435"
East Carolina University,210,"23,039"
Montana State University,210,"13,707"
Old Dominion University,210,"20,101"
University of Missouri--Kansas City,210,"11,253"
Ashland University,214,"3,716"
Dallas Baptist University,214,"3,315"
Northern Illinois University,214,"15,027"
Nova Southeastern University,214,"4,641"
Southern Illinois University--Carbondale,214,"13,031"
University of Montana,214,"8,732"
Benedictine University,220,"3,347"
California State University--Fresno,220,"21,482"
Gardner-Webb University,220,"2,615"
New Mexico State University,220,"12,526"
Shenandoah University,220,"2,010"
Tennessee Technological University,220,"9,801"
University of Massachusetts--Boston,220,"12,949"
University of Massachusetts--Dartmouth,220,"7,295"
University of Missouri--St. Louis,220,"13,569"
University of North Carolina--Greensboro,220,"15,951"
University of Southern Mississippi,220,"11,840"
Utah State University,220,"25,259"
