,Name,2009ind,2009lab,2009ba,2010ind,2010lab,2010ba,2011ind,2011lab,2011ba,2012ind,2012lab,2012ba,2013ind,2013lab,2013ba,2014ind,2014ind,2014ba,2015ind,2015lab,2015ba,2016ind,2016lab,2016ba,2017ind,2017lab,2017ba,2018ind,2018lab,2018ba,2019ind,2019lab,2019ba
0,Connecticut,"911,836","701,695",354995,"902,627","707,685",358585,"894,883","716,900",357970,"889,262","745,930",367495,"882,963","746,865",368910,"875,557","763,040",371275,"867,238","770,890",374505,"860,875","773,945",376430,"861,822","781,410",373885,"869,012","796,610",387885,"875,170","793,145",390425
1,Maine,"320,549","197,130",91690,"314,778","199,100",89450,"311,968","211,635",96290,"309,088","203,930",87590,"307,858","204,855",93755,"307,991","217,210",98610,"306,585","216,830",101070,"307,120","221,545",105165,"309,464","228,925",108625,"312,746","230,960",112950,"316,883","247,165",115885
2,Massachusetts,"1,741,440","1,470,640",805480,"1,733,812","1,476,635",803235,"1,739,254","1,494,185",795925,"1,750,436","1,508,265",812840,"1,763,085","1,556,740",838555,"1,775,117","1,617,615",858615,"1,781,106","1,629,260",866700,"1,788,412","1,682,655",895005,"1,807,335","1,716,125",909755,"1,826,349","1,788,060",960985,"1,842,827","1,820,510",974100
3,New Hampshire,"328,416","240,360",118845,"322,559","247,905",116700,"318,995","248,215",118255,"316,194","257,815",120500,"314,134","255,675",117740,"314,113","258,270",121535,"313,666","266,065",125270,"315,021","275,550",128275,"319,045","283,740",129180,"323,747","277,750",129505,"329,316","287,570",139730
4,Rhode Island,"266,874","183,930",94160,"263,766","175,495",92970,"262,028","186,075",91170,"261,835","187,490",93115,"262,859","190,650",93820,"264,176","182,600",91710,"265,110","192,790",95225,"266,628","200,030",104775,"267,252","198,040",102340,"270,705","200,310",100995,"273,548","210,470",110670
5,Vermont,"149,150","113,990",52955,"147,554","115,830",51125,"146,433","126,330",56930,"144,989","124,975",55360,"144,560","125,135",56310,"143,157","123,050",56365,"142,403","126,970",54400,"141,762","124,195",57420,"142,874","129,590",58870,"144,499","137,270",64645,"145,675","135,120",63810
6,New Jersey,"2,364,261","1,700,220",935350,"2,344,286","1,740,035",951630,"2,328,999","1,748,330",945455,"2,313,217","1,801,165",979215,"2,299,058","1,817,575",983365,"2,284,721","1,876,250",993140,"2,271,736","1,884,355",1009300,"2,264,293","1,928,255",1023980,"2,272,217","2,022,500",1074840,"2,281,791","2,057,040",1090140,"2,289,971","2,080,220",1101485
7,New York,"5,290,037","3,588,220",2072040,"5,269,491","3,554,290",2023840,"5,280,203","3,594,955",2066560,"5,293,962","3,696,935",2099705,"5,307,314","3,792,585",2176295,"5,310,927","3,854,600",2217920,"5,308,145","3,944,785",2259140,"5,302,413","3,996,040",2283450,"5,296,806","4,097,015",2330375,"5,299,630","4,146,075",2387480,"5,297,612","4,241,845",2418300
8,Pennsylvania,"3,146,144","1,894,745",1035975,"3,126,308","1,948,405",1040685,"3,125,681","1,940,200",1045715,"3,128,332","2,004,855",1082555,"3,135,420","2,065,915",1120305,"3,144,540","2,096,720",1130985,"3,148,142","2,122,270",1159390,"3,151,070","2,205,495",1209520,"3,168,645","2,264,910",1227340,"3,196,393","2,297,270",1259265,"3,222,875","2,340,735",1273570
9,Illinois,"3,517,245","2,178,225",1264185,"3,500,021","2,198,755",1256125,"3,491,412","2,218,955",1280115,"3,480,981","2,262,400",1297660,"3,477,581","2,305,040",1306450,"3,463,903","2,332,465",1340980,"3,443,469","2,339,565",1334310,"3,423,212","2,412,930",1373560,"3,411,501","2,419,020",1364145,"3,401,999","2,506,845",1410730,"3,395,231","2,539,540",1441205
