Name,Location,State,Rank,Latitude,Longitude
Princeton University,"Princeton, NJ",New Jersey,1,,
Harvard University,"Cambridge, MA",Massachusetts,2,,
University of Chicago,"Chicago, IL",Illinois,3,,
Yale University,"New Haven, CT",Connecticut,3,,
Columbia University,"New York, NY",New York,5,,
Stanford University,"Stanford, CA",California,5,,
Massachusetts Institute of Technology,"Cambridge, MA",Massachusetts,7,,
Duke University,"Durham, NC",North Carolina,8,,
University of Pennsylvania,"Philadelphia, PA",Pennsylvania,8,,
Johns Hopkins University,"Baltimore, MD",Maryland,10,,
Dartmouth College,"Hanover, NH",New Hampshire,11,,
California Institute of Technology,"Pasadena, CA",California,12,,
Northwestern University,"Evanston, IL",Illinois,12,,
Brown University,"Providence, RI",Rhode Island,14,,
Cornell University,"Ithaca, NY",New York,15,,
Rice University,"Houston, TX",Texas,15,,
University of Notre Dame,"Notre Dame, IN",Indiana,15,,
Vanderbilt University,"Nashville, TN",Tennessee,15,,
Washington University in St. Louis,"St. Louis, MO",Missouri,19,,
Emory University,"Atlanta, GA",Georgia,20,,
Georgetown University,"Washington, DC",Dist. Of Columbia,20,,
University of California--Berkeley,"Berkeley, CA",California,20,,
University of Southern California,"Los Angeles, CA",California,23,,
Carnegie Mellon University,"Pittsburgh, PA",Pennsylvania,24,,
University of California--Los Angeles,"Los Angeles, CA",California,24,,
University of Virginia,"Charlottesville, VA",Virginia,24,,
Tufts University,"Medford, MA",Massachusetts,27,,
University of Michigan--Ann Arbor,"Ann Arbor, MI",Michigan,27,,
Wake Forest University,"Winston-Salem, NC",North Carolina,27,,
University of North Carolina--Chapel Hill,"Chapel Hill, NC",North Carolina,30,,
Boston College,"Chestnut Hill, MA",Massachusetts,31,,
College of William & Mary,"Williamsburg, VA",Virginia,32,,
University of Rochester,"Rochester, NY",New York,32,,
Brandeis University,"Waltham, MA",Massachusetts,34,,
Georgia Institute of Technology,"Atlanta, GA",Georgia,34,,
New York University,"New York, NY",New York,36,,
Case Western Reserve University,"Cleveland, OH",Ohio,37,,
University of California--Santa Barbara,"Santa Barbara, CA",California,37,,
Boston University,"Boston, MA",Massachusetts,39,,
Northeastern University,"Boston, MA",Massachusetts,39,,
Rensselaer Polytechnic Institute,"Troy, NY",New York,39,,
Tulane University,"New Orleans, LA",Louisiana,39,,
University of California--Irvine,"Irvine, CA",California,39,,
Lehigh University,"Bethlehem, PA",Pennsylvania,44,,
University of California--Davis,"Davis, CA",California,44,,
University of California--San Diego,"La Jolla, CA",California,44,,
University of Illinois--Urbana-Champaign,"Champaign, IL",Illinois,44,,
University of Miami,"Coral Gables, FL",Florida,44,,
University of Wisconsin--Madison,"Madison, WI",Wisconsin,44,,
Pepperdine University,"Malibu, CA",California,50,,
University of Florida,"Gainesville, FL",Florida,50,,
Villanova University,"Villanova, PA",Pennsylvania,50,,
Pennsylvania State University--University Park,"University Park, PA",Pennsylvania,50,,
Ohio State University--Columbus,"Columbus, OH",Ohio,54,,
University of Washington,"Seattle, WA",Washington,54,,
George Washington University,"Washington, DC",Dist. Of Columbia,56,,
Southern Methodist University,"Dallas, TX",Texas,56,,
University of Georgia,"Athens, GA",Georgia,56,,
University of Texas--Austin,"Austin, TX",Texas,56,,
Fordham University,"New York, NY",New York,60,,
Purdue University--West Lafayette,"West Lafayette, IN",Indiana,60,,
Syracuse University,"Syracuse, NY",New York,60,,
University of Connecticut,"Storrs, CT",Connecticut,60,,
University of Maryland--College Park,"College Park, MD",Maryland,60,,
Worcester Polytechnic Institute,"Worcester, MA",Massachusetts,60,,
Clemson University,"Clemson, SC",South Carolina,66,,
Yeshiva University,"New York, NY",New York,66,,
Brigham Young University--Provo,"Provo, UT",Utah,68,,
University of Pittsburgh,"Pittsburgh, PA",Pennsylvania,68,,
Rutgers University--New Brunswick,"Piscataway, NJ",New Jersey,70,,
Baylor University,"Waco, TX",Texas,71,,
Stevens Institute of Technology,"Hoboken, NJ",New Jersey,71,,
University of Minnesota--Twin Cities,"Minneapolis, MN",Minnesota,71,,
American University,"Washington, DC",Dist. Of Columbia,74,,
Clark University,"Worcester, MA",Massachusetts,74,,
Texas A&M University--College Station,"College Station, TX",Texas,74,,
University of Massachusetts--Amherst,"Amherst, MA",Massachusetts,74,,
Virginia Tech,"Blacksburg, VA",Virginia,74,,
Miami University--Oxford,"Oxford, OH",Ohio,79,,
University of California--Santa Cruz,"Santa Cruz, CA",California,79,,
University of Delaware,"Newark, DE",Delaware,79,,
Colorado School of Mines,"Golden, CO",Colorado,82,,
Michigan State University,"East Lansing, MI",Michigan,82,,
Texas Christian University,"Fort Worth, TX",Texas,82,,
University of Iowa,"Iowa City, IA",Iowa,82,,
Binghamton University--SUNY,"Binghamton, NY",New York,86,,
Indiana University--Bloomington,"Bloomington, IN",Indiana,86,,
Marquette University,"Milwaukee, WI",Wisconsin,86,,
University of Denver,"Denver, CO",Colorado,86,,
University of San Diego,"San Diego, CA",California,86,,
University of Tulsa,"Tulsa, OK",Oklahoma,86,,
Florida State University,"Tallahassee, FL",Florida,92,,
North Carolina State University--Raleigh,"Raleigh, NC",North Carolina,92,,
University of Colorado--Boulder,"Boulder, CO",Colorado,92,,
University of Vermont,"Burlington, VT",Vermont,92,,
Drexel University,"Philadelphia, PA",Pennsylvania,96,,
Saint Louis University,"St. Louis, MO",Missouri,96,,
Stony Brook University--SUNY,"Stony Brook, NY",New York,96,,
Auburn University,"Auburn, AL",Alabama,99,,
Loyola University Chicago,"Chicago, IL",Illinois,99,,
SUNY College of Environmental Science and Forestry,"Syracuse, NY",New York,99,,
University at Buffalo--SUNY,"Buffalo, NY",New York,99,,
Illinois Institute of Technology,"Chicago, IL",Illinois,103,,
University of Alabama,"Tuscaloosa, AL",Alabama,103,,
University of Oregon,"Eugene, OR",Oregon,103,,
University of Tennessee,"Knoxville, TN",Tennessee,103,,
Rochester Institute of Technology,"Rochester, NY",New York,107,,
University of New Hampshire,"Durham, NH",New Hampshire,107,,
University of San Francisco,"San Francisco, CA",California,107,,
University of South Carolina,"Columbia, SC",South Carolina,107,,
Iowa State University,"Ames, IA",Iowa,111,,
University of Dayton,"Dayton, OH",Ohio,111,,
University of Missouri,"Columbia, MO",Missouri,111,,
University of Nebraska--Lincoln,"Lincoln, NE",Nebraska,111,,
University of Oklahoma,"Norman, OK",Oklahoma,111,,
University of the Pacific,"Stockton, CA",California,111,,
University of Utah,"Salt Lake City, UT",Utah,111,,
Michigan Technological University,"Houghton, MI",Michigan,118,,
Seton Hall University,"South Orange, NJ",New Jersey,118,,
Temple University,"Philadelphia, PA",Pennsylvania,118,,
University of California--Riverside,"Riverside, CA",California,118,,
University of Kansas,"Lawrence, KS",Kansas,118,,
University of St. Thomas,"St. Paul, MN",Minnesota,118,,
The Catholic University of America,"Washington, DC",Dist. Of Columbia,124,,
DePaul University,"Chicago, IL",Illinois,124,,
Duquesne University,"Pittsburgh, PA",Pennsylvania,124,,
Howard University,"Washington, DC",Dist. Of Columbia,124,,
University of Arizona,"Tucson, AZ",Arizona,124,,
Arizona State University--Tempe,"Tempe, AZ",Arizona,129,,
Clarkson University,"Potsdam, NY",New York,129,,
Colorado State University,"Fort Collins, CO",Colorado,129,,
New School,"New York, NY",New York,129,,
Hofstra University,"Hempstead, NY",New York,133,,
University of Kentucky,"Lexington, KY",Kentucky,133,,
Kansas State University,"Manhattan, KS",Kansas,135,,
Louisiana State University--Baton Rouge,"Baton Rouge, LA",Louisiana,135,,
Mercer University,"Macon, GA",Georgia,135,,
New Jersey Institute of Technology,"Newark, NJ",New Jersey,135,,
Rutgers University--Newark,"Newark, NJ",New Jersey,135,,
University of Arkansas,"Fayetteville, AR",Arkansas,135,,
University of Cincinnati,"Cincinnati, OH",Ohio,135,,
University of Mississippi,"University, MS",Mississippi,135,,
George Mason University,"Fairfax, VA",Virginia,143,,
Oregon State University,"Corvallis, OR",Oregon,143,,
Washington State University,"Pullman, WA",Washington,143,,
Adelphi University,"Garden City, NY",New York,146,,
Ohio University,"Athens, OH",Ohio,146,,
San Diego State University,"San Diego, CA",California,146,,
St. John Fisher College,"Rochester, NY",New York,146,,
University at Albany--SUNY,"Albany, NY",New York,146,,
University of Texas--Dallas,"Richardson, TX",Texas,146,,
Illinois State University,"Normal, IL",Illinois,152,,
Immaculata University,"Immaculata, PA",Pennsylvania,152,,
Oklahoma State University,"Stillwater, OK",Oklahoma,152,,
University of California--Merced,"Merced, CA",California,152,,
University of Illinois--Chicago,"Chicago, IL",Illinois,152,,
